initial_name,capacity,number_of_nodes,highest_dist,lowest_dist,mean_dist,median_dist,25th_dist,75th_dist,sd_dist,highest_demand,lowest_demand,mean_demand,median_demand,25th_demand,75th_demand,sd_demand,original_objective,10x_split_objective,rounded_split_objective,split_in_10x,split_in_rounded,num_of_10x_splits,num_of_rounded_splits
p04_18,200,150,68.62215386,1.414213562,39.2044438,40.4288928,28.12457108,50.58372009,15.1856814,100,25,63.73333333,63,47,80.75,20.78835144,4630.14,4516,4516,yes,yes,36,36
p04_19,200,150,67.26812024,4.123105626,38.13092267,40.11810915,27.89222208,49.07901296,14.15742689,100,25,58.63333333,55,40,77,22.10743967,4104.8,3976.84,3976.84,yes,yes,38,38
p04_2,200,150,69.29646456,4,40.24146784,41.73105576,31.88582801,49.61344393,13.72021378,100,25,63.04666667,60.5,43,84,22.4731949,4632.27,4526.28,4526.28,yes,yes,26,26
p04_20,200,150,63.2534584,4.123105626,38.18690806,40.28025617,29.99579057,48.12478374,13.14813242,100,25,63.96,65,45,82.75,22.306316,4481.75,4369.31,4369.31,yes,yes,36,36
p04_21,200,150,65.11528238,5.099019514,36.61638195,36.55783447,27.30394805,48.13779751,13.95208131,100,25,60.51333333,60,44,74.75,21.18796409,4032.22,4010.92,4010.92,yes,yes,28,28
p04_22,200,150,65.11528238,3,39.45566181,41.21085781,29.06888371,50.75423832,14.87494822,100,25,63.8,61.5,47,86,22.2905062,4587.7,4467.09,4467.09,yes,yes,30,30
p04_23,200,150,66.52818951,7.211102551,39.74690795,42.10103495,30.49179474,49.48458037,13.64783163,99,25,63.8,67,43.25,86,23.07032726,4570.12,4465.29,4465.29,yes,yes,27,27
p04_24,200,150,67.2086304,6.32455532,38.64179733,38.44444878,27.71713787,49.03825018,13.36605774,98,25,62.41333333,61.5,44.25,79.75,20.66178007,4337.53,4262.94,4262.94,yes,yes,34,34
p04_25,200,150,67.88225099,3.605551275,37.55903045,37.38979993,28.38536808,48.19641657,15.22736239,100,25,62.03333333,60,44.25,82,22.86202577,4255.69,4177,4177,yes,yes,28,28
p04_26,200,150,65.8559033,5,40.25260992,42.46095721,31.15592033,50.4106786,13.50656857,99,25,61,62,40.5,79.75,22.24709719,4463.53,4387.02,4373.55,yes,yes,38,32
p04_27,200,150,65.94694838,2.236067977,39.31602701,42.24294428,28.74413224,49.73680711,15.20559174,100,25,62.02,61.5,43,81,21.71127818,4519.76,4372.22,4372.22,yes,yes,36,36
p04_28,200,150,67.17886572,2.236067977,38.50809108,40.65707294,28.28346615,49.64876635,14.72979705,100,25,62.76,62,41.25,85,23.29454299,4476.13,4375.36,4375.36,yes,yes,37,37
p04_29,200,150,65.8559033,2.236067977,38.48292177,42.30222419,27.60432968,48.90753234,14.45399824,100,25,66.26,69,50.25,83.75,20.92986065,4688.12,4540.6,4540.6,yes,yes,30,30
p04_3,200,150,67.26812024,5,39.90331014,41.10057485,30.14076312,50.76164629,14.12300155,99,25,60.77333333,58,40,83,23.20406478,4403.77,4319.33,4319.33,yes,yes,30,30
p04_30,200,150,64.35060217,3.16227766,37.71159727,40.20569743,27.45906044,50.35126447,15.0455563,100,25,62.96,63,42,80.75,22.82772583,4342.16,4249.36,4249.36,yes,yes,33,33
p04_4,200,150,65.05382387,1.414213562,39.4318253,41.26740456,30.85841391,49.79958624,14.27297518,100,25,64.21333333,67,44,85,22.67967862,4627.81,4535.51,4535.51,yes,yes,47,47
p04_5,200,150,65.94694838,4.472135955,36.84439946,38.52916544,25.7862108,47.09547089,14.31841106,100,25,61.8,60.5,40,85,23.5643799,4206.76,4122.53,4122.53,yes,yes,38,38
p04_6,200,150,65.94694838,4.472135955,39.43357229,41.15213472,28.6879132,50.06743936,14.35502384,100,25,62.18666667,59.5,46.25,79,20.90721938,4538.22,4421.63,4421.63,yes,yes,32,32
p04_7,200,150,65.8559033,2,39.97817168,42.69060342,32.24464832,48.65925185,13.71832555,100,25,62.52666667,59.5,42.75,84.75,23.60866978,4562.76,4420.61,4420.61,yes,yes,39,39
p04_8,200,150,67.94115101,4.123105626,38.45310907,40.28025617,28.84537421,49.73680711,14.55695949,100,25,63.93333333,66,44,83,22.64263432,4447.08,4294.14,4294.14,yes,yes,35,35
p04_9,200,150,65.7951366,5.656854249,39.09259924,40.76674126,30.49993325,48.80828859,13.83842543,100,25,64.01333333,64,48,83,21.15497945,4573.5,4487.13,4487.13,yes,yes,34,34
p10_1,200,199,65.8559033,7.615773106,38.36122815,40.19950248,28.15106135,50.0049995,14.29003567,100,25,63.49748744,64,44,83,22.7029926,5762.84,5640.87,5640.87,yes,yes,52,52
p10_10,200,199,64.44377394,4.123105626,39.22019598,39.69886648,29.32504284,49.45701488,13.41612118,100,25,61.1758794,60,43,80,22.01790548,5735.23,5637.9,5637.9,yes,yes,51,51
p10_11,200,199,66.60330322,4.123105626,38.68462246,39.45883931,27.65863337,49.96497547,14.21717714,100,25,60.97487437,61,41.5,80.5,22.17550761,5661.64,5556.67,5556.67,yes,yes,52,52
p10_12,200,199,68.62215386,5,39.64069457,41.76122604,29.10308187,49.77447093,15.12136022,100,25,62.53266332,63,45,80,21.48875336,5900.63,5793.18,5793.18,yes,yes,44,44
p10_13,200,199,68.59300256,5,36.88686796,38.07886553,23.72578666,48.85538614,15.67404079,100,25,61.25628141,59,42.5,79.5,22.33796255,5379.34,5265.73,5274.8,yes,yes,53,52
p10_14,200,199,65.7951366,5,39.36806487,41.61730409,30.63446801,49.32032257,13.63006176,100,25,62.33165829,63,40,80,22.76492393,5880.92,5725.46,5725.46,yes,yes,57,57
p10_15,200,199,67.89698079,4,38.48197493,40.19950248,28.17800561,48.42001488,13.4986289,99,25,64.35678392,66,44,87,22.79730086,5960.99,5817.14,5817.14,yes,yes,62,62
p10_16,200,199,70.71067812,5.385164807,39.62515251,41.40048309,28.737182,50.78877614,14.46336741,100,25,62.44221106,64,42,84,22.53942224,5969.73,5843.68,5843.68,yes,yes,67,67
p10_17,200,199,70.71067812,5,39.01911534,39.3192065,28.73024947,50.48251848,14.99919915,100,25,63.45728643,66,45,81,21.18397362,5884.08,5695.8,5695.8,yes,yes,66,66
p10_18,200,199,67.26812024,2.236067977,40.1978749,41.23105626,30.73913089,51.17612063,14.21921694,100,25,64.06030151,65,43,83,22.58176393,5978.99,5862.37,5862.37,yes,yes,52,52
p10_19,200,199,67.94115101,2.828427125,38.34839122,38.60051813,28.64366776,48.54296826,13.48100791,100,25,61.98492462,62,45,80,20.74527915,5664.18,5555.43,5555.43,yes,yes,48,48
p10_2,200,199,65.94694838,2.236067977,38.05539919,40.11234224,27.5588469,49.16801992,14.46717511,100,25,61.8040201,62,42.5,82.5,22.57576376,5592.8,5481.77,5481.77,yes,yes,52,52
p10_20,200,199,68.59300256,4.123105626,38.14009004,39.84971769,30.17435491,48.21304618,13.69817741,100,25,63.23115578,65,41.5,82.5,23.3149042,5772.81,5666.54,5666.54,yes,yes,59,59
p10_21,200,199,67.94115101,4.472135955,39.59624259,41.78516483,31.45479168,48.58491579,14.19947218,100,25,61.32663317,60,45,77,20.4767019,5729.11,5645.61,5645.61,yes,yes,49,49
p10_22,200,199,70.00714249,4.472135955,37.97763029,39.62322551,28.26656591,49.24428901,14.92110238,100,25,61.51758794,61,42.5,80,22.33298577,5564,5474.64,5474.64,yes,yes,38,38
p10_23,200,199,68.62215386,5.830951895,38.67376226,41,27.37687428,49.69404341,14.60513477,100,26,60.84924623,59,43.5,77,20.61290485,5485.78,5390.54,5390.54,yes,yes,47,47
p10_24,200,199,67.26812024,1.414213562,36.30295638,37.65634077,25.39592679,46.88811359,14.59451542,100,25,62.63316583,62,41,81.5,22.57764059,5414.02,5293.29,5293.29,yes,yes,59,59
p10_25,200,199,70.71067812,10.19803903,38.4818698,38.83297568,30.61045573,47.55507733,13.06785415,100,25,63.68341709,65,46,82,21.68910702,5866.55,5717.47,5717.47,yes,yes,53,53
p10_26,200,199,64.5368112,4.472135955,38.024388,41.01219331,27.15660015,48.29594897,13.89353588,100,25,64.36180905,64,45,85,21.88457038,5798.36,5680.25,5680.25,yes,yes,42,42
p10_27,200,199,65.94694838,2.236067977,38.19143957,38.27531842,28.3979489,49.42616579,14.69272796,100,25,64.04020101,65,44,84,22.89584,5858.9,5713.67,5713.67,yes,yes,51,51
p10_28,200,199,70.71067812,1.414213562,38.58628803,38.58756276,28.99958484,48.65684287,14.75130125,100,25,66.48241206,68,46.5,85,22.07316391,6104.09,5962.94,5962.94,yes,yes,69,69
p10_29,200,199,70.00714249,2.236067977,38.45373279,40.31128874,26.78533026,49.64876635,15.00565664,100,25,59.25125628,59,41,76,20.70387495,5533.08,5405.47,5405.47,yes,yes,36,36
p10_3,200,199,68.59300256,5.385164807,37.4721433,39.2173431,27.3860305,48.17148758,13.88699128,100,25,61.74371859,61,42,81,22.23198041,5477.6,5369.39,5369.39,yes,yes,43,43
p10_30,200,199,70.00714249,2.236067977,39.06130288,41.14608122,29.02855555,49.38116816,13.99707593,100,25,63.08542714,62,44,83.5,22.43153153,5880.35,5719.14,5719.14,yes,yes,48,48
p10_4,200,199,68.62215386,2,39.69124793,41.10960958,30.95952374,49.10189678,13.6937727,100,25,62.30653266,62,44.5,82,22.24558016,5914.23,5787.49,5787.49,yes,yes,51,51
p10_5,200,199,68.62215386,5,38.68480304,40.44749683,28.73008078,50.04995907,14.87159728,100,25,64.87939698,65,47.5,84.5,21.51931533,6037.68,5906.33,5906.33,yes,yes,53,53
p10_6,200,199,67.26812024,4.242640687,39.9827485,43.01162634,31.35279431,50.13980058,14.29175268,100,25,60.79396985,57,42.5,81.5,22.4517968,5822.92,5728.41,5728.41,yes,yes,42,42
p10_7,200,199,65.76473219,3.16227766,38.3616497,39.96248241,27.95525141,49.76872935,14.58184019,100,25,62.15075377,62,41.5,83,22.71446945,5690.8,5572.89,5572.89,yes,yes,57,57
p10_8,200,199,67.26812024,3.16227766,38.10148369,39.81205847,27.46689513,49.91483691,14.64540869,100,26,64.59798995,68,48,83,20.9411522,5815.79,5683.61,5683.61,yes,yes,53,53
p10_9,200,199,64.44377394,5,38.78152259,40.60788101,29.99124732,48.21292126,13.11213861,100,25,60.00502513,59,42,79,20.90646734,5573.58,5459.04,5459.04,yes,yes,55,55
p01_00,160,50,43.93176527,2.236067977,24.02347639,24.86931688,17.21915703,31.20836417,9.376170963,41,3,15.54,15,9.25,20.5,7.980501237,526.97,524.92,524.81,no,no,0,0
p01_1030,160,50,43.93176527,2.236067977,24.02347639,24.86931688,17.21915703,31.20836417,9.376170963,45,17,32.22,32.5,25,40.75,8.720756848,783.49,773.24,776.25,yes,yes,4,5
p01_1050,160,50,43.93176527,2.236067977,24.02347639,24.86931688,17.21915703,31.20836417,9.376170963,74,18,48.94,49.5,34.25,65.75,17.42,1046.16,1028.66,1044.24,yes,yes,7,4
p01_1090,160,50,43.93176527,2.236067977,24.02347639,24.86931688,17.21915703,31.20836417,9.376170963,132,20,82.44,83.5,52.5,116.5,34.83627994,1681.44,1520.74,1517.3,yes,yes,11,15
p01_110,160,50,43.93176527,2.236067977,24.02347639,24.86931688,17.21915703,31.20836417,9.376170963,14,1,8.34,8.5,5,12,4.032914579,459.5,459.5,459.5,no,no,0,0
p01_3070,160,50,43.93176527,2.236067977,24.02347639,24.86931688,17.21915703,31.20836417,9.376170963,106,50,80.94,81.5,66.25,97.75,17.42,1699.43,1532.96,1526.65,yes,yes,14,19
p01_7090,160,50,43.93176527,2.236067977,24.02347639,24.86931688,17.21915703,31.20836417,9.376170963,141,113,128.22,128.5,121,136.75,8.720756848,2402.34,2219.62,2217.15,yes,yes,33,33
p02_00,140,75,43.26661531,3,24.20571192,23.60084744,16.97999412,31.95302931,10.08580737,37,1,18.18666667,18,12,24,7.907284967,849.54,850.03,851.92,no,yes,0,5
p02_1030,140,75,43.26661531,3,24.20571192,23.60084744,16.97999412,31.95302931,10.08580737,41,14,28.69333333,29,22,36.5,7.978259348,1141.78,1139.99,1133.08,yes,yes,6,9
p02_1050,140,75,43.26661531,3,24.20571192,23.60084744,16.97999412,31.95302931,10.08580737,69,15,43.93333333,45,30.5,59.5,16.04521389,1547.91,1524.52,1528.66,yes,yes,10,7
p02_1090,140,75,43.26661531,3,24.20571192,23.60084744,16.97999412,31.95302931,10.08580737,125,17,74.4,76,47.5,105,31.97082003,2517.7,2372.03,2364.66,yes,yes,24,28
p02_110,140,75,43.26661531,3,24.20571192,23.60084744,16.97999412,31.95302931,10.08580737,13,1,7.613333333,8,4.5,11,3.741277263,623.8,622.67,627.36,no,no,0,0
p02_3070,140,75,43.26661531,3,24.20571192,23.60084744,16.97999412,31.95302931,10.08580737,97,43,71.93333333,73,58.5,87.5,16.04521389,2505.89,2298.78,2282.37,yes,yes,19,22
p02_7090,140,75,43.26661531,3,24.20571192,23.60084744,16.97999412,31.95302931,10.08580737,125,98,112.6933333,113,106,120.5,7.978259348,3630.85,3294.58,3302.07,yes,yes,47,52
p03_00,200,100,49.92995093,4.472135955,24.94711311,24.8794184,18.02775638,31.68969181,9.484806148,41,1,14.58,13,8,19.25,8.826301604,830.09,829.6,829.6,no,no,0,0
p03_1030,200,100,49.92995093,4.472135955,24.94711311,24.8794184,18.02775638,31.68969181,9.484806148,59,21,42.23,45,32.75,52,11.19540531,1498.78,1505.59,1505.59,yes,yes,10,10
p03_1050,200,100,49.92995093,4.472135955,24.94711311,24.8794184,18.02775638,31.68969181,9.484806148,99,22,64.84,70,45.75,84,22.40880184,2079.53,2054.31,2063.41,yes,yes,21,21
p03_1090,200,100,49.92995093,4.472135955,24.94711311,24.8794184,18.02775638,31.68969181,9.484806148,179,25,110.21,121,71.5,149,44.85538875,3467.58,3168.01,3168.01,yes,yes,46,46
p03_110,200,100,49.92995093,4.472135955,24.94711311,24.8794184,18.02775638,31.68969181,9.484806148,19,2,11.69,13,7,16,5.072859154,771.59,772.07,772.07,yes,yes,2,2
p03_3070,200,100,49.92995093,4.472135955,24.94711311,24.8794184,18.02775638,31.68969181,9.484806148,139,62,104.84,110,85.75,124,22.40880184,3505.37,3074.77,3074.77,yes,yes,34,34
p03_7090,200,100,49.92995093,4.472135955,24.94711311,24.8794184,18.02775638,31.68969181,9.484806148,179,141,162.23,165,152.75,172,11.19540531,4989.42,4510.76,4510.76,yes,yes,72,72
p04_00,200,150,49.92995093,4.472135955,24.53500589,24.67779228,18.00693909,31.52733213,9.546036826,41,1,14.9,14,9,19.75,8.56562899,1043.01,1053.23,1053.23,yes,yes,3,3
p04_1030,200,150,49.92995093,4.472135955,24.53500589,24.67779228,18.00693909,31.52733213,9.546036826,59,20,42.21333333,44,33.25,51,10.80221376,2088.81,2079.78,2079.78,yes,yes,39,39
p04_1050,200,150,49.92995093,4.472135955,24.53500589,24.67779228,18.00693909,31.52733213,9.546036826,99,21,64.84,68.5,47.25,83,21.61174989,3007.53,2917.6,2917.6,yes,yes,31,31
p04_1090,200,150,49.92995093,4.472135955,24.53500589,24.67779228,18.00693909,31.52733213,9.546036826,179,22,110.2266667,118,74.5,146.75,43.26124465,5221.11,4667.35,4667.35,yes,yes,75,75
p04_110,200,150,49.92995093,4.472135955,24.53500589,24.67779228,18.00693909,31.52733213,9.546036826,19,2,11.70666667,13,8,16,4.879271348,929.55,935.92,935.92,no,no,0,0
p04_3070,200,150,49.92995093,4.472135955,24.53500589,24.67779228,18.00693909,31.52733213,9.546036826,139,61,104.84,108.5,87.25,123,21.61174989,5219.17,4474.96,4474.96,yes,yes,70,70
p04_7090,200,150,49.92995093,4.472135955,24.53500589,24.67779228,18.00693909,31.52733213,9.546036826,179,140,162.2133333,164,153.25,171,10.80221376,7360.5,6563.5,6563.5,yes,yes,145,145
p05_00,200,199,49.92995093,2.236067977,24.14172858,24.35159132,17.64867475,31.08857375,9.30424101,41,1,16.01005025,15,9,21,8.484090905,1317.92,1327.53,1327.53,yes,yes,7,7
p05_1030,200,199,49.92995093,2.236067977,24.14172858,24.35159132,17.64867475,31.08857375,9.30424101,59,20,40.99497487,42,32,51,11.21354954,2540.69,2539.25,2539.25,yes,yes,46,46
p05_1050,200,199,49.92995093,2.236067977,24.14172858,24.35159132,17.64867475,31.08857375,9.30424101,99,20,62.4321608,65,44,82,22.46189785,3614.73,3555.94,3555.94,yes,yes,51,51
p05_1090,200,199,49.92995093,2.236067977,24.14172858,24.35159132,17.64867475,31.08857375,9.30424101,179,20,105.3969849,111,69,144,44.94271274,6261.56,5648.83,5648.83,yes,yes,105,105
p05_110,200,199,49.92995093,2.236067977,24.14172858,24.35159132,17.64867475,31.08857375,9.30424101,19,2,11.16080402,12,7,15,5.056889559,1095.25,1116.79,1116.79,yes,yes,6,6
p05_3070,200,199,49.92995093,2.236067977,24.14172858,24.35159132,17.64867475,31.08857375,9.30424101,139,60,102.4321608,105,84,122,22.46189785,6306.07,5556.46,5556.46,yes,yes,92,92
p05_7090,200,199,49.92995093,2.236067977,24.14172858,24.35159132,17.64867475,31.08857375,9.30424101,179,140,160.9949749,162,152,171,11.21354954,9608.4,8375.49,8375.49,yes,yes,171,171
p10_00,200,199,49.92995093,2.236067977,24.14172858,24.35159132,17.64867475,31.08857375,9.30424101,41,1,16.01005025,15,9,21,8.484090905,1317.92,1327.53,1327.53,yes,yes,7,7
p10_1030,200,199,49.92995093,2.236067977,24.14172858,24.35159132,17.64867475,31.08857375,9.30424101,59,20,40.99497487,42,32,51,11.21354954,2540.69,2539.25,2539.25,yes,yes,46,46
p10_1050,200,199,49.92995093,2.236067977,24.14172858,24.35159132,17.64867475,31.08857375,9.30424101,99,20,62.4321608,65,44,82,22.46189785,3614.73,3555.94,3555.94,yes,yes,51,51
p10_1090,200,199,49.92995093,2.236067977,24.14172858,24.35159132,17.64867475,31.08857375,9.30424101,179,20,105.3969849,111,69,144,44.94271274,6261.56,5648.83,5648.83,yes,yes,105,105
p10_110,200,199,49.92995093,2.236067977,24.14172858,24.35159132,17.64867475,31.08857375,9.30424101,19,2,11.16080402,12,7,15,5.056889559,1095.25,1116.79,1116.79,yes,yes,6,6
p10_3070,200,199,49.92995093,2.236067977,24.14172858,24.35159132,17.64867475,31.08857375,9.30424101,139,60,102.4321608,105,84,122,22.46189785,6306.07,5556.46,5556.46,yes,yes,92,92
p10_7090,200,199,49.92995093,2.236067977,24.14172858,24.35159132,17.64867475,31.08857375,9.30424101,179,140,160.9949749,162,152,171,11.21354954,9608.4,8375.49,8375.49,yes,yes,171,171
p11_00,200,120,99.28242543,3.16227766,50.99714112,53.2071125,15.84338662,82.11418538,31.35522175,35,2,11.45833333,11,7,14.25,5.361740752,1042.11,1052.49,1052.49,yes,yes,2,2
p11_1030,200,120,99.28242543,3.16227766,50.99714112,53.2071125,15.84338662,82.11418538,31.35522175,59,20,42.3,45,32.75,52,11.24247897,2941.98,2934.65,2934.65,yes,yes,25,25
p11_1050,200,120,99.28242543,3.16227766,50.99714112,53.2071125,15.84338662,82.11418538,31.35522175,99,21,65.03333333,70.5,45.75,84,22.47588832,4338.49,4309.68,4309.68,yes,yes,31,31
p11_1090,200,120,99.28242543,3.16227766,50.99714112,53.2071125,15.84338662,82.11418538,31.35522175,179,22,110.5833333,121.5,71.5,149,44.99344088,7804.21,7079.25,7079.25,yes,yes,66,66
p11_110,200,120,99.28242543,3.16227766,50.99714112,53.2071125,15.84338662,82.11418538,31.35522175,19,2,11.73333333,13,7,16,5.075649931,1045.91,1064.7,1064.7,yes,yes,2,2
p11_3070,200,120,99.28242543,3.16227766,50.99714112,53.2071125,15.84338662,82.11418538,31.35522175,139,61,105.0333333,110.5,85.75,124,22.47588832,7765.78,6796.52,6796.52,yes,yes,59,59
p11_7090,200,120,99.28242543,3.16227766,50.99714112,53.2071125,15.84338662,82.11418538,31.35522175,179,140,162.3,165,152.75,172,11.24247897,12239.31,10551.92,10551.92,yes,yes,111,111
